Fecha,Brent_USD_barril,TRM_COP_USD,Brent_en_COP,Precio_diesel_COP_galon,ICTC_pct
2014-01-01,106.4,2015.04,214400,8359,1.48
2014-02-01,109.07,2042.5,222775,8359,1.48
2014-03-01,107.76,1971.37,212435,8359,1.48
2014-04-01,108.07,1935.0,209115,8433,1.48
2014-05-01,108.68,1896.0,206057,8426,1.48
2014-06-01,112.07,1878.75,210552,8426,-0.13
2014-07-01,106.53,1876.16,199867,8426,-0.13
2014-08-01,103.77,1920.25,199264,8426,-0.13
2014-09-01,95.32,2024.9,193013,8426,0.13
2014-10-01,86.34,2057.0,177601,8426,0.13
2014-11-01,70.58,2216.5,156441,8426,0.13
2014-12-01,58.21,2388.0,139005,8259,1.01
2015-01-01,53.95,2439.0,131584,8259,1.01
2015-02-01,63.15,2499.5,157843,8259,1.01
2015-03-01,56.21,2599.0,146090,7702,0.44
2015-04-01,67.45,2381.0,160598,7693,0.44
2015-05-01,66.14,2530.0,167334,7693,0.44
2015-06-01,64.14,2604.73,167067,7873,0.68
2015-07-01,52.85,2879.0,152155,7873,0.68
2015-08-01,54.99,3054.2,167950,7873,0.68
2015-09-01,49.05,3086.81,151408,7670,1.35
2015-10-01,50.31,2895.86,145691,7688,1.35
2015-11-01,45.24,3143.6,142216,7593,1.35
2015-12-01,37.67,3169.5,119395,7469,0.39
2016-01-01,35.99,3278.92,118008,7426,1.41
2016-02-01,36.57,3290.23,120324,7318,1.41
2016-03-01,40.33,2999.51,120970,7307,-0.81
2016-04-01,47.37,2846.05,134817,7273,-0.36
2016-05-01,49.89,3089.7,154145,7348,0.54
2016-06-01,49.71,2919.15,145111,7348,0.54
2016-07-01,43.53,3066.93,133503,7348,0.12
2016-08-01,46.89,2971.1,139315,7258,-0.27
2016-09-01,50.19,2882.35,144665,7391,0.43
2016-10-01,48.61,3003.0,145976,7391,-0.06
2016-11-01,51.84,3074.0,159356,7391,0.99
2016-12-01,57.49,3001.5,172556,7391,-0.29
2017-01-01,55.58,2918.5,162210,7669,2.09
2017-02-01,56.51,2923.7,165218,7669,0.53
2017-03-01,53.53,2873.11,153798,7756,0.35
2017-04-01,52.05,2938.31,152939,7747,-0.16
2017-05-01,50.76,2916.0,148016,7771,0.04
2017-06-01,48.77,3041.58,148338,7582,0.05
2017-07-01,52.72,2984.0,157316,7805,0.04
2017-08-01,52.86,2947.1,155784,7901,0.29
2017-09-01,56.79,2932.65,166545,8038,0.55
2017-10-01,60.94,3041.0,185319,8038,0.01
2017-11-01,62.63,3011.99,188641,8038,0.15
2017-12-01,66.44,2982.0,198124,8196,0.71
2018-01-01,68.89,2829.4,194917,8185,0.7
2018-02-01,64.73,2865.5,185484,8324,0.83
2018-03-01,69.34,2790.0,193459,8363,0.03
2018-04-01,74.69,2804.0,209431,8450,-0.13
2018-05-01,77.56,2889.7,224125,8450,0.64
2018-06-01,79.23,2929.25,232084,8610,0.78
2018-07-01,74.21,2888.1,214326,8610,0.04
2018-08-01,77.64,3046.25,236511,8610,0.1
2018-09-01,82.73,2959.8,244864,8715,0.64
2018-10-01,75.04,3215.13,241263,8822,0.57
2018-11-01,59.46,3232.5,192204,8916,0.63
2018-12-01,54.02,3245.0,175295,8916,0.2
